R_ID,zone,voltage_level,Resource,RENEW,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,HYDRO,VRE,Commit,Min_Share,Max_Share,Existing_Cap_MW,New_Build,Cap_size,Max_Cap_MW,Min_Cap_MW,Min_Share_percent,Max_Share_percent,Inv_cost_per_MWyr,Inv_cost_per_Mwhyr,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Externality_cost_MWh,Start_cost,Start_fuel_MMBTU_per_start,Heat_rate_MMBTU_per_MWh,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Max_DSM_delay,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh_in,Hydro_level
25,2,trans,Coal Old,0,1,1,0,0,0,0,0,0,0,1,0,0,64366.51223,0,380,0,-1,0,0,105.7782711,0,55.12575389,0.972102,0,90.002424,0,9.241594273,coal,0.55,0,1,1,0,0,0.2,0.2,24,24,1,0,0.2,0.2,0.6,0.6,0,0,0,0,0
26,2,trans,Coal New,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,660,-1,-1,0,0,105.7782711,0,30,0.9,0,141.47,0,9.467116711,coal,0.55,0,1,1,0,0,0.2,0.2,24,24,1,0,0.2,0.2,0.6,0.6,0,0,0,0,0
27,3,trans,Solar,1,0,0,1,0,0,0,0,0,1,0,0,0,97142.71705,1,1000,80.799,-1,0,0,35.10580309,0,16.66666667,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
28,3,trans,Wind,1,0,0,1,0,0,0,0,0,1,0,0,0,155213.47,1,1000,127.01347,-1,0,0,72.73844503,0,16.66666667,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
29,3,trans,Biomass,1,0,1,0,0,0,0,0,0,1,0,0,0,5336,1,1000,5.336,-1,0,0,94.60831933,0,37.87878788,0,0,0,0,16.655814,biomass,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
30,3,trans,Mini Hydro,1,0,0,1,0,0,0,0,0,1,0,0,0,1675,1,1000,0,-1,0,0,96.93003959,0,31.81818182,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
31,3,trans,Pumped Hydro Storage,1,0,1,0,1,0,0,0,0,0,0,0,0,2167.570951,1,1000,0.867570951,-1,0,0,112.6783142,0,15,0,0,0,0,0,none,0,0,0.866,0.866,0.083333333,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
32,3,trans,Hydro Reservoir,1,0,1,0,1,0,0,0,1,0,0,0,0,6608.1,0,1000,0,-1,0,0,143.7514285,0,39.39393939,0,0,0,0,0,none,0,0,1,1,0.000372012,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0.514874112
33,3,trans,Hydro Run of River,1,0,0,1,0,0,0,0,0,1,0,0,0,4015.35,1,1000,1.196767526,-1,0,0,143.7514285,0,47.27272727,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
34,3,trans,Nuclear Old,0,1,1,0,0,0,0,0,0,0,1,0,0,3438,0,200,0,-1,0,0,163.120054,0,22.20419277,3.418732,0,200,0,9.977963566,uranium,0.5,0,1,1,0,0,0.2,0.2,24,24,1,0,0.1,0.1,0.5,0.5,0,0,0,0,0
35,3,trans,Nuclear New,0,1,1,0,0,0,0,0,0,0,1,0,0,9500,1,500,9.5188,-1,0,0,163.120054,0,80,3.4,0,500,0,10.13518957,uranium,0.5,0,1,1,0,0,0.2,0.2,24,24,1,0,0.1,0.1,0.5,0.5,0,0,0,0,0
36,3,trans,CCGT Old,0,1,1,0,0,0,0,0,0,0,1,0,0,3532.507135,0,430,0,-1,0,0,69.88250869,0,11.84954574,1.824449,0,45.606061,0,6.150381974,natural_gas,0.3,0,1,1,0,0,0.5,0.5,8,8,1,0,0.75,0.75,0.75,0.75,0,0,0,0,0
37,3,trans,CCGT New,0,1,1,0,0,0,0,0,0,0,1,0,0,40950,1,350,-1,-1,0,0,69.88250869,0,10,1.5,0,37.121212,0,6.769230769,natural_gas,0.3,0,1,1,0,0,1,1,8,8,1,0,0.75,0.75,0.75,0.75,0,0,0,0,0
38,3,trans,Coal Old,0,1,1,0,0,0,0,0,0,0,1,0,0,35609.34639,0,450,0,-1,0,0,105.7782711,0,55.06500495,1.142586,0,106.581818,0,10.11029958,coal,0.55,0,1,1,0,0,0.2,0.2,24,24,1,0,0.2,0.2,0.6,0.6,0,0,0,0,0
39,3,trans,Coal New,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,660,-1,-1,0,0,105.7782711,0,30,0.9,0,141.47,0,9.467116711,coal,0.55,0,1,1,0,0,0.2,0.2,24,24,1,0,0.2,0.2,0.6,0.6,0,0,0,0,0
40,4,trans,Solar,1,0,0,1,0,0,0,0,0,1,0,0,0,30856.33765,1,1000,54.123,-1,0,0,35.10580309,0,16.66666667,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
41,4,trans,Biomass,1,0,1,0,0,0,0,0,0,1,0,0,0,1906,1,1000,1.906,-1,0,0,94.60831933,0,37.87878788,0,0,0,0,16.655814,biomass,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
42,4,trans,Mini Hydro,1,0,0,1,0,0,0,0,0,1,0,0,0,135,1,1000,0,-1,0,0,96.93003959,0,31.81818182,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
43,4,trans,Pumped Hydro Storage,1,0,1,0,1,0,0,0,0,0,0,0,0,1391.021839,1,1000,0.451021839,-1,0,0,112.6783142,0,15,0,0,0,0,0,none,0,0,0.866,0.866,0.083333333,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
44,4,trans,Hydro Reservoir,1,0,1,0,1,0,0,0,1,0,0,0,0,2142.25,0,1000,0,-1,0,0,143.7514285,0,39.39393939,0,0,0,0,0,none,0,0,1,1,0.000556408,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0.377606997
45,4,trans,Hydro Run of River,1,0,0,1,0,0,0,0,0,1,0,0,0,4058.902374,1,1000,1.122452374,-1,0,0,143.7514285,0,47.27272727,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
46,4,trans,Nuclear Old,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,200,0,-1,0,0,163.120054,0,0,0,0,200,0,10.13518957,uranium,0.5,0,1,1,0,0,0.2,0.2,24,24,1,0,0.1,0.1,0.5,0.5,0,0,0,0,0
47,4,trans,Nuclear New,0,1,1,0,0,0,0,0,0,0,1,0,0,500,1,500,0.898,-1,0,0,163.120054,0,80,3.4,0,500,0,10.13518957,uranium,0.5,0,1,1,0,0,0.2,0.2,24,24,1,0,0.1,0.1,0.5,0.5,0,0,0,0,0
48,4,trans,CCGT Old,0,1,1,0,0,0,0,0,0,0,1,0,0,19.5,0,20,0,-1,0,0,69.88250869,0,4.8,4,0,2.121212,0,6.769230769,natural_gas,0.3,0,1,1,0,0,0.5,0.5,8,8,1,0,0.75,0.75,0.75,0.75,0,0,0,0,0
49,4,trans,CCGT New,0,1,1,0,0,0,0,0,0,0,1,0,0,40250,1,350,-1,-1,0,0,69.88250869,0,10,1.5,0,37.121212,0,6.769230769,natural_gas,0.3,0,1,1,0,0,1,1,8,8,1,0,0.75,0.75,0.75,0.75,0,0,0,0,0
50,4,trans,Coal Old,0,1,1,0,0,0,0,0,0,0,1,0,0,22867.65395,0,390,0,-1,0,0,105.7782711,0,55.04853958,0.962972,0,92.370909,0,10.41701772,coal,0.55,0,1,1,0,0,0.2,0.2,24,24,1,0,0.2,0.2,0.6,0.6,0,0,0,0,0
51,4,trans,Coal New,0,1,1,0,0,0,0,0,0,0,1,0,0,29040,1,660,-1,-1,0,0,105.7782711,0,30,0.9,0,141.47,0,9.467116711,coal,0.55,0,1,1,0,0,0.2,0.2,24,24,1,0,0.2,0.2,0.6,0.6,0,0,0,0,0
52,5,trans,Solar,1,0,0,1,0,0,0,0,0,1,0,0,0,5919.829253,1,1000,56.154,-1,0,0,35.10580309,0,16.66666667,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
53,5,trans,Biomass,1,0,1,0,0,0,0,0,0,1,0,0,0,274,1,1000,0.274,-1,0,0,94.60831933,0,37.87878788,0,0,0,0,16.655814,biomass,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
54,5,trans,Mini Hydro,1,0,0,1,0,0,0,0,0,1,0,0,0,358.74,1,1000,0,-1,0,0,96.93003959,0,31.81818182,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
55,5,trans,Pumped Hydro Storage,1,0,1,0,1,0,0,0,0,0,0,0,0,931.248512,1,1000,0.931248512,-1,0,0,112.6783142,0,15,0,0,0,0,0,none,0,0,0.866,0.866,0.083333333,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
56,5,trans,Hydro Reservoir,1,0,1,0,1,0,0,0,1,0,0,0,0,105,0,1000,0,-1,0,0,143.7514285,0,39.39393939,0,0,0,0,0,none,0,0,1,1,0.00042,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1
57,5,trans,Hydro Run of River,1,0,0,1,0,0,0,0,0,1,0,0,0,13997.46189,1,1000,11.09046189,-1,0,0,143.7514285,0,47.27272727,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
58,5,trans,CCGT Old,0,1,1,0,0,0,0,0,0,0,1,0,0,966.975513,0,160,0,-1,0,0,69.88250869,0,9.896357689,2.230431,0,16.969697,0,7.585434752,natural_gas,0.3,0,1,1,0,0,0.5,0.5,8,8,1,0,0.75,0.75,0.75,0.75,0,0,0,0,0
59,5,trans,Coal Old,0,1,1,0,0,0,0,0,0,0,1,0,0,462.325,0,230,0,-1,0,0,105.7782711,0,54.97979798,1.03,0,54.475152,0,9.77232813,coal,0.55,0,1,1,0,0,0.2,0.2,24,24,1,0,0.2,0.2,0.6,0.6,0,0,0,0,0
60,1,trans,Backup,0,1,1,0,0,0,0,0,0,0,1,0,0,1106,0,1000,0,-1,0,0,0,0,0,0,0,0,0,27.77777778,diesel,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
61,2,trans,Backup,0,1,1,0,0,0,0,0,0,0,1,0,0,1977,0,1000,0,-1,0,0,0,0,0,0,0,0,0,27.77777778,diesel,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
62,3,trans,Backup,0,1,1,0,0,0,0,0,0,0,1,0,0,1000,0,1000,0,-1,0,0,0,0,0,0,0,0,0,27.77777778,diesel,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
63,4,trans,Backup,0,1,1,0,0,0,0,0,0,0,1,0,0,1000,0,1000,0,-1,0,0,0,0,0,0,0,0,0,27.77777778,diesel,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
64,5,trans,Backup,0,1,1,0,0,0,0,0,0,0,1,0,0,4917,0,1000,0,-1,0,0,0,0,0,0,0,0,0,27.77777778,diesel,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
65,1,trans,Diesel Old,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,27.77777778,diesel,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
66,2,trans,Diesel Old,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,27.77777778,diesel,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
67,3,trans,Diesel Old,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,27.77777778,diesel,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
68,4,trans,Diesel Old,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,27.77777778,diesel,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
69,5,trans,Diesel Old,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,27.77777778,diesel,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
70,1,trans,Diesel New,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,27.77777778,diesel,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
71,2,trans,Diesel New,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,27.77777778,diesel,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
72,3,trans,Diesel New,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,27.77777778,diesel,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
73,4,trans,Diesel New,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,27.77777778,diesel,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
74,5,trans,Diesel New,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,27.77777778,diesel,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
